Tik;Teplota_Vakua_Psi;Celkove_Pnuti;Pocet_Mutaci;Integrita_Kopie_Procenta
0;85.0;267533.32;10;0.0
20;85.0;583276.35;10;0.0
40;85.0;766696.67;10;0.0
60;85.0;896053.88;10;0.0
80;85.0;937860.39;10;0.0
100;85.0;940164.83;10;0.0
120;85.0;1003612.15;10;0.0
140;85.0;999066.52;10;0.0
160;85.0;1030381.01;10;0.0
180;85.0;1057172.0;10;0.0
200;85.0;1012031.57;10;0.0
220;85.0;1009030.64;10;0.0
240;85.0;1043750.73;10;0.0
260;85.0;1020614.75;10;0.0
280;85.0;1026004.76;10;0.0
300;85.0;1059777.86;10;0.0
320;85.0;1067821.74;10;0.0
340;85.0;1119272.02;10;0.0
360;85.0;1114769.68;10;0.0
380;85.0;1116493.71;10;0.0
400;85.0;1090352.95;10;0.0
420;85.0;1077444.1;10;0.0
440;85.0;1067254.12;10;0.0
460;85.0;1127368.25;10;0.0
480;85.0;1091572.8;10;0.0
500;85.0;1134100.55;10;0.0
520;85.0;1131389.51;10;0.0
540;85.0;1127871.56;10;0.0
560;85.0;1109460.16;10;0.0
580;85.0;1081714.92;10;0.0
600;85.0;1082491.84;10;0.0
620;85.0;1127653.12;10;0.0
640;85.0;1108569.06;10;0.0
660;85.0;1107464.58;10;0.0
680;85.0;1151106.4;10;0.0
700;85.0;1129749.15;10;0.0
720;85.0;1132370.63;10;0.0
740;85.0;1179303.11;10;0.0
760;85.0;1222357.24;10;0.0
780;85.0;1227061.6;10;0.0
800;85.0;1246020.11;10;0.0
820;85.0;1237133.93;10;0.0
840;85.0;1257866.71;10;0.0
860;85.0;1243458.56;10;0.0
880;85.0;1236823.43;10;0.0
900;85.0;1206872.83;10;0.0
920;85.0;1185182.31;10;0.0
940;85.0;1186281.28;9;10.0
960;85.0;1228527.13;10;0.0
980;85.0;1174074.06;10;0.0
