Frekvence;Max Pnuti;Hustota Mostu;Status Mrizky
0.0;20.88;0.01;REPULZE (Frekvence nesedí)
0.5;20.95;0.01;REPULZE (Frekvence nesedí)
1.0;21.01;0.01;REPULZE (Frekvence nesedí)
1.5;21.08;0.01;REPULZE (Frekvence nesedí)
2.0;21.14;0.01;REPULZE (Frekvence nesedí)
2.5;21.2;0.01;REPULZE (Frekvence nesedí)
3.0;21.26;0.01;REPULZE (Frekvence nesedí)
3.5;21.31;0.01;REPULZE (Frekvence nesedí)
4.0;21.36;0.01;REPULZE (Frekvence nesedí)
4.5;21.41;0.01;REPULZE (Frekvence nesedí)
5.0;21.46;0.01;REPULZE (Frekvence nesedí)
5.5;21.51;0.01;REPULZE (Frekvence nesedí)
6.0;21.61;0.01;REPULZE (Frekvence nesedí)
6.5;21.71;0.01;REPULZE (Frekvence nesedí)
7.0;21.8;0.01;REPULZE (Frekvence nesedí)
7.5;21.89;0.01;REPULZE (Frekvence nesedí)
8.0;21.99;0.01;REPULZE (Frekvence nesedí)
8.5;22.07;0.01;REPULZE (Frekvence nesedí)
9.0;22.16;0.01;REPULZE (Frekvence nesedí)
9.5;22.24;0.01;REPULZE (Frekvence nesedí)
10.0;22.32;0.01;REPULZE (Frekvence nesedí)
10.5;22.4;0.01;REPULZE (Frekvence nesedí)
11.0;22.48;0.01;REPULZE (Frekvence nesedí)
11.5;22.55;0.01;REPULZE (Frekvence nesedí)
12.0;22.62;0.01;REPULZE (Frekvence nesedí)
12.5;22.69;0.01;REPULZE (Frekvence nesedí)
13.0;22.75;0.01;REPULZE (Frekvence nesedí)
13.5;22.81;0.01;REPULZE (Frekvence nesedí)
14.0;22.87;0.01;REPULZE (Frekvence nesedí)
14.5;22.93;0.01;REPULZE (Frekvence nesedí)
15.0;22.98;0.01;REPULZE (Frekvence nesedí)
15.5;23.03;0.01;REPULZE (Frekvence nesedí)
16.0;23.08;0.01;REPULZE (Frekvence nesedí)
16.5;23.13;0.01;REPULZE (Frekvence nesedí)
17.0;23.17;0.01;REPULZE (Frekvence nesedí)
17.5;23.21;0.01;REPULZE (Frekvence nesedí)
18.0;23.25;0.01;REPULZE (Frekvence nesedí)
18.5;23.28;0.01;REPULZE (Frekvence nesedí)
19.0;23.31;0.01;REPULZE (Frekvence nesedí)
19.5;23.34;0.01;REPULZE (Frekvence nesedí)
20.0;23.37;0.01;REPULZE (Frekvence nesedí)
