Frekvence;Max Pnuti;Hustota Mostu;Status Mrizky
0.0;9.02;0.39;REPULZE (Frekvence netrefila zámek)
0.5;9.03;0.55;REPULZE (Frekvence netrefila zámek)
1.0;9.04;0.87;REPULZE (Frekvence netrefila zámek)
1.5;9.05;1.23;REPULZE (Frekvence netrefila zámek)
2.0;9.06;1.59;REPULZE (Frekvence netrefila zámek)
2.5;9.07;1.95;REPULZE (Frekvence netrefila zámek)
3.0;9.08;2.3;REPULZE (Frekvence netrefila zámek)
3.5;9.09;2.64;REPULZE (Frekvence netrefila zámek)
4.0;9.11;2.96;REPULZE (Frekvence netrefila zámek)
4.5;9.12;3.27;REPULZE (Frekvence netrefila zámek)
5.0;9.12;3.55;REPULZE (Frekvence netrefila zámek)
5.5;9.13;3.82;REPULZE (Frekvence netrefila zámek)
6.0;9.14;4.06;REPULZE (Frekvence netrefila zámek)
6.5;9.14;4.28;REPULZE (Frekvence netrefila zámek)
7.0;9.15;4.47;REPULZE (Frekvence netrefila zámek)
7.5;9.15;4.63;REPULZE (Frekvence netrefila zámek)
8.0;9.15;4.77;REPULZE (Frekvence netrefila zámek)
8.5;9.14;4.87;REPULZE (Frekvence netrefila zámek)
9.0;9.14;4.95;REPULZE (Frekvence netrefila zámek)
9.5;9.13;4.99;REPULZE (Frekvence netrefila zámek)
10.0;9.13;5.01;REPULZE (Frekvence netrefila zámek)
10.5;9.12;4.99;REPULZE (Frekvence netrefila zámek)
11.0;9.11;4.95;REPULZE (Frekvence netrefila zámek)
11.5;9.1;4.87;REPULZE (Frekvence netrefila zámek)
12.0;9.08;4.77;REPULZE (Frekvence netrefila zámek)
12.5;9.07;4.63;REPULZE (Frekvence netrefila zámek)
13.0;9.06;4.47;REPULZE (Frekvence netrefila zámek)
13.5;9.05;4.28;REPULZE (Frekvence netrefila zámek)
14.0;9.04;4.06;REPULZE (Frekvence netrefila zámek)
14.5;9.03;3.82;REPULZE (Frekvence netrefila zámek)
15.0;9.02;3.55;REPULZE (Frekvence netrefila zámek)
15.5;9.01;3.27;REPULZE (Frekvence netrefila zámek)
16.0;9.0;2.96;REPULZE (Frekvence netrefila zámek)
16.5;9.0;2.64;REPULZE (Frekvence netrefila zámek)
17.0;9.0;2.3;REPULZE (Frekvence netrefila zámek)
17.5;9.0;1.95;REPULZE (Frekvence netrefila zámek)
18.0;9.0;1.59;REPULZE (Frekvence netrefila zámek)
18.5;9.0;1.23;REPULZE (Frekvence netrefila zámek)
19.0;9.0;0.87;REPULZE (Frekvence netrefila zámek)
19.5;9.01;0.55;REPULZE (Frekvence netrefila zámek)
20.0;9.02;0.39;REPULZE (Frekvence netrefila zámek)
