Tik;Max_Hustota;Sila_Mostu;Uvolnena_Energie_MeV
50;16.60096018167526;0.03973898643863574;0.0
100;16.493103427833404;0.04023822737040549;0.0
150;17.49369291066784;0.04351958544916632;0.0
200;18.750070777472768;0.04428986963947758;0.0
250;20.307979229795336;0.043013549454851495;0.0
300;26.752279476709965;0.059661875658099606;0.0
350;28.698749991232567;0.091064128428298;0.0
400;25.76990846737214;0.15093976417790692;0.0
450;20.402165310484772;0.2658901167723579;0.0
500;14.93867238295106;0.4658164758779101;0.0
550;24.265475964302116;0.7754919009859719;0.0
600;39.41505179036747;1.262000693535201;0.0
650;64.02180643507248;2.049948273011871;0.0
700;103.98602639324659;3.3298414954715922;0.0
750;168.87260603588166;5.408836866108246;0.0
800;274.03219969277296;8.785847049174048;0.0
850;440.68453572462755;14.271263285588574;0.0
900;596.9898383989236;23.181389065988267;0.0
950;723.0790897615051;37.65417961582233;0.0
1000;800.0;61.161765055990784;0.0
1050;800.0;99.34129063865798;0.0
1100;800.0;161.33345986390142;2.22
1150;800.0;261.8398943820112;2.22
1200;800.0;422.01520076889994;2.22
1250;800.0;583.8943848086623;2.22
1300;800.0;712.1379496935666;2.22
1350;800.0;800.0;2.22
1400;800.0;800.0;2.22
1450;800.0;800.0;2.22
1500;800.0;800.0;2.22
1550;800.0;800.0;2.22
1600;800.0;800.0;2.22
1650;800.0;800.0;2.22
1700;800.0;800.0;2.22
1750;800.0;800.0;2.22
1800;800.0;800.0;2.22
1850;800.0;800.0;2.22
1900;800.0;800.0;2.22
1950;800.0;800.0;2.22
2000;800.0;800.0;2.22
